          Submission                     NoBag   Bag
=====================================================
accepted/julian.cpp                         81     91
accepted/paul-buckets.cpp                  158      0
accepted/paul-count-holes-improved.cpp       5      3
accepted/paul.cpp                          141     37
accepted/paul-improved.cpp                   4      0
accepted/paul-too-greedy-improved.cpp      469      0
wrong_answer/julian-wrong-direction.cpp   1414   1603
wrong_answer/paul-count-holes.cpp         5292   4385
wrong_answer/paul-random.cpp             10000  10000
wrong_answer/paul-too-greedy.cpp          1384    374
